"No pendule";"Amenagement";"Ouvrage";"Date";"Nombre Date";"Niveau Reservoir (m)";"Deplacements cumulatif X (mm)";"Deplacements cumulatif Y (mm)";"Deplacements cumulatif Z (mm)";"Remarque";"Memo";"Deplacement local X";"Deplacement local y";"Deplacement local z";;;;;;;;;;;;;;;;;;;;;;;;;;
"LGA007PIAP-E010";"LGA";"LGABAR";"2003-01-20 00:00";37641;31.06;-2.51;-.18;1.29;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LGA007PIAP-E010";"LGA";"LGABAR";"2003-01-21 00:00";37642;31.12;-2.48;-.22;1.27;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LGA007PIAP-E010";"LGA";"LGABAR";"2003-01-22 00:00";37643;31.20;-2.47;-.38;1.25;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LGA007PIAP-E010";"LGA";"LGABAR";"2003-01-23 00:00";37644;31.08;-2.45;-.32;1.26;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LGA007PIAP-E010";"LGA";"LGABAR";"2003-01-24 00:00";37645;31.24;-2.46;-.37;1.23;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LGA007PIAP-E010";"LGA";"LGABAR";"2003-01-25 00:00";37646;30.96;-2.47;-.35;1.21;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LGA007PIAP-E010";"LGA";"LGABAR";"2003-01-26 00:00";37647;31.22;-2.5;-.35;1.2;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LGA007PIAP-E010";"LGA";"LGABAR";"2003-01-27 00:00";37648;31.26;-2.52;-.24;1.2;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LGA007PIAP-E010";"LGA";"LGABAR";"2003-01-28 00:00";37649;31.13;-2.42;-.4;1.2;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LGA007PIAP-E010";"LGA";"LGABAR";"2003-01-29 00:00";37650;31.23;-2.38;-.37;1.2;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LGA007PIAP-E010";"LGA";"LGABAR";"2003-01-30 00:00";37651;31.24;-2.43;-.3;1.19;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LGA007PIAP-E010";"LGA";"LGABAR";"2003-01-31 00:00";37652;30.99;-2.39;-.4;1.18;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
